model,metric,group,name,value
Model-1000,ai2arc/accuracy/ARC-Challenge,ai2arc,accuracy/ARC-Challenge,0.19742489270386265
Model-1000,ai2arc/accuracy/ARC-Easy,ai2arc,accuracy/ARC-Easy,0.2608879492600423
Model-1000,ai2arc/accuracy/group_average,ai2arc,accuracy/group_average,0.22915642098195246
Model-1000,ai2arc/accuracy/seq_average,ai2arc,accuracy/seq_average,0.23994334277620397
Model-1000,blimp/accuracy/adjunct_island,blimp,accuracy/adjunct_island,0.718
Model-1000,blimp/accuracy/anaphor_gender_agreement,blimp,accuracy/anaphor_gender_agreement,0.441
Model-1000,blimp/accuracy/anaphor_number_agreement,blimp,accuracy/anaphor_number_agreement,0.692
Model-1000,blimp/accuracy/animate_subject_passive,blimp,accuracy/animate_subject_passive,0.663
Model-1000,blimp/accuracy/animate_subject_trans,blimp,accuracy/animate_subject_trans,0.692
Model-1000,blimp/accuracy/causative,blimp,accuracy/causative,0.494
Model-1000,blimp/accuracy/complex_NP_island,blimp,accuracy/complex_NP_island,0.476
Model-1000,blimp/accuracy/coordinate_structure_constraint_complex_left_branch,blimp,accuracy/coordinate_structure_constraint_complex_left_branch,0.249
Model-1000,blimp/accuracy/coordinate_structure_constraint_object_extraction,blimp,accuracy/coordinate_structure_constraint_object_extraction,0.629
Model-1000,blimp/accuracy/determiner_noun_agreement_1,blimp,accuracy/determiner_noun_agreement_1,0.811
Model-1000,blimp/accuracy/determiner_noun_agreement_2,blimp,accuracy/determiner_noun_agreement_2,0.784
Model-1000,blimp/accuracy/determiner_noun_agreement_irregular_1,blimp,accuracy/determiner_noun_agreement_irregular_1,0.605
Model-1000,blimp/accuracy/determiner_noun_agreement_irregular_2,blimp,accuracy/determiner_noun_agreement_irregular_2,0.725
Model-1000,blimp/accuracy/determiner_noun_agreement_with_adj_2,blimp,accuracy/determiner_noun_agreement_with_adj_2,0.712
Model-1000,blimp/accuracy/determiner_noun_agreement_with_adj_irregular_1,blimp,accuracy/determiner_noun_agreement_with_adj_irregular_1,0.627
Model-1000,blimp/accuracy/determiner_noun_agreement_with_adj_irregular_2,blimp,accuracy/determiner_noun_agreement_with_adj_irregular_2,0.669
Model-1000,blimp/accuracy/determiner_noun_agreement_with_adjective_1,blimp,accuracy/determiner_noun_agreement_with_adjective_1,0.718
Model-1000,blimp/accuracy/distractor_agreement_relational_noun,blimp,accuracy/distractor_agreement_relational_noun,0.327
Model-1000,blimp/accuracy/distractor_agreement_relative_clause,blimp,accuracy/distractor_agreement_relative_clause,0.27
Model-1000,blimp/accuracy/drop_argument,blimp,accuracy/drop_argument,0.738
Model-1000,blimp/accuracy/ellipsis_n_bar_1,blimp,accuracy/ellipsis_n_bar_1,0.418
Model-1000,blimp/accuracy/ellipsis_n_bar_2,blimp,accuracy/ellipsis_n_bar_2,0.497
Model-1000,blimp/accuracy/existential_there_object_raising,blimp,accuracy/existential_there_object_raising,0.715
Model-1000,blimp/accuracy/existential_there_quantifiers_1,blimp,accuracy/existential_there_quantifiers_1,0.856
Model-1000,blimp/accuracy/existential_there_quantifiers_2,blimp,accuracy/existential_there_quantifiers_2,0.157
Model-1000,blimp/accuracy/existential_there_subject_raising,blimp,accuracy/existential_there_subject_raising,0.632
Model-1000,blimp/accuracy/expletive_it_object_raising,blimp,accuracy/expletive_it_object_raising,0.713
Model-1000,blimp/accuracy/group_average,blimp,accuracy/group_average,0.5898656716417912
Model-1000,blimp/accuracy/inchoative,blimp,accuracy/inchoative,0.35
Model-1000,blimp/accuracy/intransitive,blimp,accuracy/intransitive,0.538
Model-1000,blimp/accuracy/irregular_past_participle_adjectives,blimp,accuracy/irregular_past_participle_adjectives,0.619
Model-1000,blimp/accuracy/irregular_past_participle_verbs,blimp,accuracy/irregular_past_participle_verbs,0.598
Model-1000,blimp/accuracy/irregular_plural_subject_verb_agreement_1,blimp,accuracy/irregular_plural_subject_verb_agreement_1,0.592
Model-1000,blimp/accuracy/irregular_plural_subject_verb_agreement_2,blimp,accuracy/irregular_plural_subject_verb_agreement_2,0.678
